rank,name,boardlife_link,players,players_min,players_max,genre,rating,shopping_link,google_link
76,케일러스,https://boardlife.co.kr/game/238,2~5명,2,5,전략게임,7.849,https://search.shopping.naver.com/search/all?query=케일러스 보드게임,https://www.google.com/search?q=케일러스 보드게임
77,반지의 제왕: 가운데땅 여정,https://boardlife.co.kr/game/10793,1~5명,1,5,테마게임,7.846,https://search.shopping.naver.com/search/all?query=반지의 제왕: 가운데땅 여정 보드게임,https://www.google.com/search?q=반지의 제왕: 가운데땅 여정 보드게임
78,행성 X를 찾아서,https://boardlife.co.kr/game/13332,1~4명,1,4,전략게임,7.845,https://search.shopping.naver.com/search/all?query=행성 X를 찾아서 보드게임,https://www.google.com/search?q=행성 X를 찾아서 보드게임
79,요코하마,https://boardlife.co.kr/game/6941,2~4명,2,4,전략게임,7.843,https://search.shopping.naver.com/search/all?query=요코하마 보드게임,https://www.google.com/search?q=요코하마 보드게임
80,글룸헤이븐: 사자의 턱,https://boardlife.co.kr/game/12900,1~4명,1,4,전략게임,7.837,https://search.shopping.naver.com/search/all?query=글룸헤이븐: 사자의 턱 보드게임,https://www.google.com/search?q=글룸헤이븐: 사자의 턱 보드게임
81,티츄,https://boardlife.co.kr/game/478,4명,4,4,전략게임,7.836,https://search.shopping.naver.com/search/all?query=티츄 보드게임,https://www.google.com/search?q=티츄 보드게임
82,섀클턴 베이스,https://boardlife.co.kr/game/20025,1~4명,1,4,전략게임,7.836,https://search.shopping.naver.com/search/all?query=섀클턴 베이스 보드게임,https://www.google.com/search?q=섀클턴 베이스 보드게임
83,푸드 체인 거물,https://boardlife.co.kr/game/5712,2~5명,2,5,전략게임,7.833,https://search.shopping.naver.com/search/all?query=푸드 체인 거물 보드게임,https://www.google.com/search?q=푸드 체인 거물 보드게임
84,팬데믹 레거시: 시즌 0,https://boardlife.co.kr/game/13425,2~4명,2,4,전략게임,7.833,https://search.shopping.naver.com/search/all?query=팬데믹 레거시: 시즌 0 보드게임,https://www.google.com/search?q=팬데믹 레거시: 시즌 0 보드게임
85,레지스탕스: 아발론,https://boardlife.co.kr/game/523,5~10명,5,10,파티게임,7.826,https://search.shopping.naver.com/search/all?query=레지스탕스: 아발론 보드게임,https://www.google.com/search?q=레지스탕스: 아발론 보드게임
